timestamp,open,high,low,close,volume
2018-12-19,373.9000,377.3500,372.0000,375.8500,1607147
2018-12-18,369.0000,374.3500,365.0000,372.9000,2687027
2018-12-17,369.1500,377.6000,369.1500,371.4000,3175781
2018-12-14,370.0000,371.1500,367.0000,368.6000,2380991
2018-12-13,374.9000,376.4500,370.0000,371.0500,2369770
2018-12-12,357.0000,376.1500,355.5500,374.4500,2845017
2018-12-11,347.0000,363.5500,347.0000,355.7500,6177739
2018-12-10,360.1000,365.5000,357.6000,359.1500,2917295
2018-12-07,364.8000,374.6000,363.7500,373.4500,3286454
2018-12-06,372.9000,375.3000,362.6000,363.9500,6200377
2018-12-05,375.0000,376.7500,372.7000,374.7500,4847267
2018-12-04,374.4500,375.6500,370.6500,373.8000,2615507
2018-12-03,367.4500,379.9000,365.0000,375.6500,4303979
2018-11-30,369.8000,374.6000,363.6000,365.6500,4137466
2018-11-29,366.5000,371.3500,363.2000,369.8000,3425961
2018-11-28,368.2000,369.0000,362.2500,365.4000,2583045
2018-11-27,368.4500,373.0000,363.2000,369.0500,4995025
2018-11-26,368.4500,370.4000,356.0000,369.0500,3906643
2018-11-22,359.3500,370.9000,359.3500,368.1500,4446824
2018-11-21,355.2500,362.8500,352.5500,361.2500,3161864
2018-11-20,349.8500,357.5500,347.0000,355.2500,5778336
2018-11-19,348.2000,352.0000,342.4000,350.5500,2321979
2018-11-16,346.0000,351.4000,342.0000,347.4500,3619678
2018-11-15,334.0000,347.8500,330.0000,346.2000,5293256
2018-11-14,335.3000,337.0000,329.5000,332.0000,2981090
2018-11-13,327.6500,335.0000,324.7000,334.1000,1738296
2018-11-12,339.0000,344.7000,327.3000,328.6500,3573699
2018-11-09,328.0000,338.8500,326.1500,337.6000,3522988
2018-11-07,329.0000,329.0000,324.3500,326.2000,301934
2018-11-06,331.0000,337.4500,323.1500,325.6000,5044028
2018-11-05,334.4500,334.4500,326.7000,329.5500,3085488
